Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0028020306,0.006938985,159.10022,15.910022,367.25366,16.290865,-3.9983888,0.0015006948,0.0017231063,0.007043804,-0.0038209101,-0.0024057261,0.0013084512,0.0017346189,-0.0068316073,-4.0254493,0.53336704,-2.0912807,-6.65784,0.0005312544,0.001146872,0.003908259,-0.00399118,-0.00027209986,0.0013374739,0.0039026316,-0.0048950757,0.95561206,0.04803656,-401.22584665316526,-402.4510581617936,-333.5906895668206,2000,205000,0,248.3846621112898,0,369.0317164985463,617.4163786098361,629.4933932926506,0
0.58204734,0.29284006,75.740105,7.5740104,25.284397,2.4315224,52.436367,-57.84385,46.35609,0.68852884,-152.88342,-52.542473,46.12747,4.7940464,-149.1379,-3.333664,1.1369122,1.2124333,-8.343241,0.11779239,0.36214945,1.425127,-1.6668273,-0.2905442,0.10778056,-0.07125631,-0.654476,0.91634405,0.061587375,-394.1865838753507,-401.78886666609907,-344.5199130352118,4000,210000,0,249.5382184246555,12.079707080498338,8.768748568370938,270.3866740735248,899.954891695641,1
0.5948161,0.4271775,83.44275,8.344275,34.49609,7.7159615,99.943405,-105.61871,98.832535,10.726747,-285.96674,-101.33327,98.95109,13.9901085,-280.54468,-2.8366268,1.6504855,4.961448,-10.861727,0.07542839,0.5100707,1.9496,-2.002591,-0.27965438,0.13212271,-0.051096484,-0.80729175,0.5572776,0.06673622,-253.03829297307385,-253.87087339100034,-302.1386217597243,6000,215000,0,254.22310004010797,12.15441991854459,9.412191248498857,275.7897112071514,1176.076383820735,2
0.5722594,0.52048784,80.08928,8.008928,38.058247,5.3965206,85.6405,-91.44834,132.55373,20.36578,-380.09262,-85.71669,130.651,23.701576,-369.65295,-2.901029,1.7353841,6.789113,-8.266317,-0.00049832027,0.49611464,2.1895337,-1.8815659,-0.29439956,0.1588369,0.082534626,-0.9734615,0.78512734,0.06976543,-349.4281911105386,-268.95207796076943,-299.87632582436953,8000,220000,0,213.40146515890956,12.486733624711633,8.626701159402728,234.51489994302392,1406.5741032566875,3
0.7040349,0.39787322,91.983765,9.198377,67.179184,16.648563,225.13937,-231.62325,169.83751,25.473612,-467.43274,-223.02026,167.09576,28.458078,-450.84045,-2.0850027,2.164422,7.6524763,-9.097786,-0.014268096,0.63182783,2.2563462,-2.1872044,-0.37741196,0.22008748,0.054354034,-1.4709942,0.65807706,0.09989512,-106.91687125692299,-108.08092768554006,-186.1659344592893,10000,225000,0,168.10338816419244,8.469609814696014,5.846088667400181,182.41908664628863,1589.7622047038749,4
0.64219993,0.39897057,94.674965,9.467497,61.239685,11.673218,232.14526,-239.95528,204.70815,35.938038,-518.41797,-231.86371,201.89812,39.051033,-511.5323,-1.8421746,2.3603048,7.346611,-13.490049,-0.015699456,0.667628,2.2966242,-2.4257102,-0.39122322,0.23520139,0.15210587,-1.7161517,0.88489753,0.10663058,-215.37348538747582,-192.40197074653918,-187.92655157542578,12000,230000,0,178.4838306317106,9.23946137726307,6.554512986913323,194.27780499588698,1784.3740162765607,5
0.5748625,0.3851362,91.97435,9.197435,55.825493,8.750069,230.08525,-237.61716,239.09975,41.350624,-674.04364,-229.71347,236.71574,44.781776,-663.154,-1.9488852,2.4343991,8.152943,-8.651139,-0.03191572,0.64902544,2.1890354,-2.3178697,-0.3793125,0.2336698,0.03584549,-1.8034016,0.8646553,0.11565473,-196.63493143180466,-188.30885385442878,-189.25007807436796,14000,235000,0,167.802340275608,9.572389023378491,6.411788558587432,183.78651785757393,1966.6111321030185,6
0.4921876,0.59061545,100.45325,10.045325,59.20721,11.23028,276.20114,-284.98788,250.65775,47.893185,-751.17664,-276.1059,248.06168,51.076134,-743.35016,-1.7261515,2.4283113,7.8248487,-8.591276,-0.04140033,0.676044,2.534277,-2.2493923,-0.41465816,0.25193512,0.08812842,-1.886563,0.8485049,0.10662478,-260.05619883214933,-218.12466109577986,-139.5221343333527,16000,240000,0,166.70349587127566,8.024361616931856,5.831821513362229,180.55967900156975,2147.013238819316,7
0.6007112,0.3996659,94.4868,9.44868,57.59383,17.844654,279.21112,-287.7943,256.4648,49.76555,-771.00024,-281.33002,255.35768,54.018696,-770.8735,-1.8479773,2.3380628,10.358036,-9.763419,0.0039340374,0.65978384,2.492462,-2.4596646,-0.405478,0.24785903,0.08460148,-1.9702455,0.5607449,0.090145275,-212.09231639389145,-170.265209497635,-179.36796479477923,18000,245000,0,177.23602896556258,7.865404985845089,5.735169779509306,190.83660373091698,2339.297149023041,8
0.44700664,0.56807846,106.16846,10.616846,66.09479,12.332428,412.56308,-421.2843,240.95149,53.889893,-901.1726,-413.4859,240.07652,56.6646,-902.9084,-1.2858028,2.4967012,8.546484,-9.642206,-0.036164805,0.7451356,2.487505,-2.3658,-0.44077936,0.25194973,0.15390357,-1.932666,0.4828821,0.12235874,-201.82343431638873,-182.28790938107488,-174.88956585606715,20000,250000,0,171.09083826560527,9.315361518412828,6.616271792910993,187.0224715769291,2524.972724416293,9
0.6652869,0.40956694,106.02398,10.602398,67.73424,12.805655,420.44986,-428.06866,295.94244,66.04109,-939.3299,-419.7242,294.414,70.01942,-934.28674,-1.5583026,2.4314327,7.6697693,-10.021843,-0.031452715,0.70486253,2.4300988,-2.4994626,-0.41604125,0.25874603,0.09553836,-1.9348222,0.48629752,0.099803604,-60.06176916294356,-57.2123989874524,-108.1670930055055,22000,255000,0,167.8205264126882,7.967363255098462,6.768198997713625,182.55608866550028,2707.490790429525,10
0.58790255,0.58389825,96.9969,9.699691,55.412586,13.509042,325.14795,-332.23697,306.86533,69.64259,-955.3438,-326.26868,306.28732,73.13336,-960.91345,-1.946863,2.2293487,6.3005686,-9.18628,-0.012855344,0.63903934,2.4418023,-2.2153473,-0.40309724,0.24398713,0.08574659,-1.8787029,0.90664464,0.10465534,-104.9633995622456,-90.69986977821898,-139.84259141406403,24000,260000,0,175.8966546850279,7.9281460754573345,6.381037914194167,190.2058386746794,2898.3796926978976,11
0.64213765,0.39669958,104.21022,10.421022,55.345753,9.257349,301.4514,-309.72995,333.32294,74.17625,-1062.1637,-302.20853,330.5315,76.90549,-1060.2317,-1.9776318,2.227117,9.152382,-9.311565,-0.009727001,0.62723607,2.7125783,-2.234225,-0.39743885,0.24722569,0.08580813,-1.8085648,0.645217,0.1267419,-57.691994524442656,-57.2695051542599,-79.32673635848586,26000,265000,0,174.92199178691953,8.612727975472808,6.493050648830831,190.02777041122317,3087.593583931215,12
0.6465245,0.4174049,108.09407,10.809407,70.407715,14.452804,451.6292,-460.16467,328.47302,70.03634,-1119.9454,-451.3876,326.43604,73.60725,-1117.6079,-1.7758434,2.2846947,6.52135,-10.4234085,-0.03786401,0.66198516,2.633651,-2.2501767,-0.41366604,0.24530542,0.14265242,-1.8712469,0.7782512,0.10495031,-115.88617986016584,-110.08789999664296,-120.58669652057036,28000,270000,0,168.12357003986835,7.798908577300608,6.186005713418126,182.1084843305871,3269.50657687895,13
0.50612855,0.5336656,88.456406,8.845641,53.070465,10.17716,297.3558,-304.6293,335.0221,85.39699,-1116.4574,-296.37677,332.26175,88.92609,-1121.0251,-1.9156463,2.2672882,7.1651754,-13.087835,-0.034874637,0.63581514,2.5723586,-2.344269,-0.41206315,0.25377664,0.053309962,-1.9657037,0.71098363,0.094528556,-68.62983492357894,-70.9817101090134,-111.3844981553329,30000,275000,0,175.32146247290075,7.604055620729923,5.936696839518845,188.86221493314952,3459.66421455238,14
0.44698018,0.6495408,79.92467,7.992467,36.988438,8.646731,171.70755,-178.06332,312.5139,79.28531,-1097.6223,-171.49083,311.15015,83.65921,-1106.7008,-2.423298,2.0302417,6.659032,-9.243222,0.011067991,0.55735224,2.4159575,-2.450599,-0.37997648,0.2261299,0.11273967,-1.8778648,0.8484045,0.119184256,-100.31207579462611,-101.06430768148019,-140.88601704167385,32000,280000,0,177.18126156460494,8.899747990071774,6.703866878524423,192.78487643320113,3652.2381026260555,15
0.5885583,0.35290727,93.91012,9.391012,50.039062,9.400324,299.57373,-307.7489,342.92477,85.71013,-1135.5259,-299.5838,339.77054,88.11279,-1134.8303,-1.9604788,2.3271408,6.7367034,-8.518204,-0.008090488,0.62863857,2.922341,-2.3508072,-0.41642678,0.25389886,0.11440337,-1.9407631,0.73977935,0.09062825,-106.53247062192368,-115.12573101194502,-154.75822428975812,34000,285000,0,168.97443135362118,8.68731522001326,5.889275908470154,183.5510224821046,3834.920401448384,16
0.43270627,0.5575909,91.720314,9.172031,44.64968,10.272404,264.32397,-272.32568,358.34366,90.65827,-1275.9697,-264.3659,355.8127,93.21159,-1269.5231,-2.0186076,2.3014443,9.03267,-9.274288,-0.0067411275,0.62146676,2.7657192,-2.6708694,-0.39988717,0.24779217,0.12340966,-1.9508216,0.72978115,0.09255647,-49.18723302143399,-57.91804556892036,-146.1796759498372,36000,290000,0,173.58008742332458,7.818045999854803,5.759964373894036,187.15809779707342,4022.8989984700456,17
0.7055745,0.42385215,96.70108,9.670108,56.672462,11.381184,381.6082,-389.68204,333.62363,90.409836,-1223.6954,-382.57474,332.1281,93.36556,-1233.3593,-1.5074472,2.4817693,8.058407,-9.03482,-0.042994898,0.69709295,2.8414574,-2.4305167,-0.45106962,0.26098976,0.20252706,-1.9638823,0.67579734,0.09500875,-59.99999853471578,-60.04674383627847,-124.34594997121015,38000,295000,0,178.71784302406013,8.640878655947745,6.4056465262547135,193.7643682062626,4216.089336656965,18
0.89537734,0.47778016,102.516464,10.251647,59.523857,10.272014,357.76395,-365.7843,367.95444,96.07674,-1291.9807,-358.0651,365.82007,98.60926,-1285.4691,-1.6341745,2.5136425,13.456855,-9.319457,-0.04196079,0.6775186,3.0047019,-2.7754958,-0.42323807,0.25979042,0.06864041,-2.0887418,0.6483973,0.08889359,-75.28002699299961,-81.31353776022655,-135.34245035239508,40000,300000,0,170.24032302666456,8.0643354030326,6.077213270589709,184.38187170028687,4400.704773828387,19
0.4836688,0.6480077,106.74574,10.674575,66.88415,13.553764,414.21057,-421.4786,324.5695,97.16632,-1365.4164,-412.82565,322.23453,100.66327,-1349.8536,-1.2578471,2.6096668,9.365675,-10.562285,-0.020639563,0.7382059,2.8546093,-3.0565214,-0.46647885,0.2727724,0.090670496,-1.9710497,0.59996986,0.088880375,-106.66552788138401,-129.76031637784726,-96.39500430554008,42000,305000,0,176.22846855130047,8.29800381604582,5.891188756562769,190.41766112390906,4591.64095111005,20
0.2233355,0.61708754,81.59845,8.159845,46.77372,12.181683,190.28825,-196.64574,363.96646,98.951096,-1303.736,-188.79071,361.31097,102.5093,-1301.7587,-2.2422476,2.2759156,11.885202,-9.863032,-0.0052796123,0.5970432,2.5679512,-2.5802786,-0.39453563,0.2311634,0.21285677,-2.0880353,0.53407335,0.11075375,-109.59389078709214,-117.02550673470641,-140.1835516088732,44000,310000,0,180.67924346402287,8.817294617183506,6.350351508706808,195.8468895899132,4786.845582480542,21
0.5199588,0.7456323,95.15213,9.515213,54.392494,13.339787,282.35196,-290.43066,361.74612,107.62677,-1339.4753,-282.8727,359.14392,109.58362,-1313.36,-1.7109575,2.5680606,11.936363,-9.879021,0.0033228453,0.6704857,3.7206352,-2.657926,-0.4314158,0.2617228,0.08542901,-2.0845525,0.6634167,0.11654993,-91.93648208715317,-106.62615470195492,-105.04690387137241,46000,315000,0,169.2930992692709,8.174232833087444,5.766771676018834,183.23410377837718,4970.266033437103,22
0.64140713,0.4042398,102.010895,10.20109,61.04695,13.319046,323.99252,-331.0768,348.7458,108.98059,-1296.5859,-323.34753,346.32834,112.484375,-1290.3613,-1.5062456,2.593294,11.65173,-9.345215,-0.02646671,0.70066553,3.7584796,-2.713007,-0.44176874,0.25875312,0.08149092,-1.9358612,0.535628,0.07862237,-84.31405217549532,-112.5727488440593,-177.01312563757693,48000,320000,0,174.62419473566115,8.360847786068916,5.796837275847793,188.78187979757786,5160.077900263481,23
0.5381956,0.37245518,96.618835,9.661883,63.866165,23.095493,354.6818,-364.85327,334.8864,104.69833,-1272.4136,-357.03082,333.59384,106.89411,-1276.3574,-1.2391005,2.6407285,12.187906,-9.037414,-0.045087736,0.7338683,2.6976461,-2.992133,-0.47023726,0.27004457,0.16726965,-2.0812368,0.83940107,0.14242955,-53.43302090272785,-65.28749034046245,-149.74095598049584,50000,325000,0,180.73091359157115,9.391000327654183,6.030600614845753,196.1525145340711,5351.358704537153,24
0.45645228,0.5008167,93.47217,9.347217,57.40786,13.522474,242.0084,-249.32906,371.0343,109.70292,-1290.314,-242.14282,369.22543,113.150024,-1294.9224,-1.8804746,2.4500508,14.287571,-10.064886,-0.038392477,0.6443059,3.2779145,-2.9192815,-0.42377082,0.2520744,0.17947462,-2.1469193,0.5235276,0.080919854,-63.27539507356471,-68.13156835854788,-139.75402561503034,52000,330000,0,105.60915271937847,4.519366948865354,3.52032870054245,113.64884836878628,5465.751802301966,25
0.64602566,0.45264775,88.42029,8.842029,34.763878,9.697458,115.82299,-123.03609,339.36774,113.95778,-1333.6055,-116.37547,337.0896,116.45225,-1337.291,-2.432187,2.167195,11.864767,-8.8312845,0.0038974527,0.5487373,2.6187546,-3.2411559,-0.38665786,0.22853808,0.19923255,-1.9588686,0.525108,0.109414555,-91.15622969467643,-133.0882473307171,-153.2092925059331,54000,335000,0,107.55652953591198,5.26371247228235,3.070991932414472,115.8912339406088,5581.327049233019,26
0.5879839,0.40800086,93.02408,9.302408,41.181713,8.426487,162.77197,-169.12596,315.88892,142.24303,-1274.0975,-162.23352,313.32596,145.97894,-1276.9352,-2.0447598,2.446722,16.30339,-9.877289,-0.008796812,0.6092036,3.0806038,-3.3051174,-0.41444406,0.25428617,0.32140896,-2.0518415,0.57308865,0.09103146,-77.43096236797732,-114.99794066752015,-138.18357642784525,56000,340000,0,107.28146478906274,4.948365821503103,3.0058877915143967,115.23571840208024,5696.460099196993,27
0.5178534,0.4049016,90.61551,9.061551,45.330757,14.254562,213.81552,-221.40903,343.74002,114.9988,-1339.1265,-215.16055,341.95517,117.57934,-1332.7449,-1.8403108,2.5182304,10.940312,-7.8854074,-0.020035544,0.65147406,3.069908,-2.726297,-0.43044552,0.2503197,0.18597421,-2.1777134,0.4779481,0.085502476,-57.03593663114494,-84.30898794789582,-103.72884941055057,58000,345000,0,106.77977541368455,4.845948320813477,3.1137204952538013,114.73944422975183,5810.875345617533,28
0.54040563,0.35289776,97.76956,9.776957,65.50276,13.716756,359.7976,-368.93134,318.1744,109.66403,-1326.2605,-360.72253,317.27444,112.823135,-1337.5743,-1.1003735,2.7207837,16.892607,-9.561157,-0.021356063,0.7471089,2.9028988,-3.151838,-0.49105862,0.27676034,0.15896776,-2.0352688,0.5654564,0.091676116,-82.17932586399381,-102.14355780805637,-149.20875189794006,60000,350000,0,104.00454529561102,4.521224956959486,2.9672195184975863,111.4929897710681,5923.170133610256,29
0.6281686,0.4517045,87.60884,8.760884,27.791058,6.577692,89.09232,-95.37458,299.42435,124.747314,-1315.9924,-88.954216,297.61127,128.4549,-1314.127,-2.337355,2.2443287,9.129582,-7.83952,5.493189e-05,0.55440354,2.5871267,-2.7612982,-0.40221953,0.2424261,0.13154662,-2.1543553,0.7101169,0.12485619,-88.67309908988905,-109.95734060091124,-164.85277727472453,62000,355000,0,157.5389729226008,5.32357579562813,3.4544586976990104,166.31700741592795,6091.605312144384,30
0.8350544,0.7123316,107.50937,10.750937,63.412766,15.589584,200.38725,-208.7218,374.42798,134.73412,-1370.7975,-200.40636,370.73013,136.15532,-1366.0342,-1.9791859,2.5045462,14.192806,-12.402115,0.01573965,0.62293524,3.5265474,-2.8980732,-0.42376617,0.26100057,0.15328735,-2.028192,0.49379736,0.107896484,-66.87414372285137,-83.12755105987539,-152.93096051097893,64000,360000,0,170.90043635759503,7.441310720518231,5.879168435931206,184.22091551404446,6276.303189730272,31
0.4267246,0.4425412,79.61377,7.961377,44.061268,16.072308,147.76466,-154.69566,318.9598,123.230896,-1320.4667,-145.83286,315.5836,126.4647,-1315.0731,-2.0556812,2.4114072,14.597636,-10.509663,0.0040504304,0.6051033,3.2190921,-2.7230637,-0.43096676,0.25814447,0.24535513,-2.1328533,0.6053561,0.11083732,-93.08118398565522,-136.40924376590357,-189.7295824750387,66000,365000,0,163.66880593448877,7.9203070271760225,5.099780353717506,176.6888933153823,6453.299094578251,32
0.5389444,0.48936224,106.98341,10.698341,67.19068,52.452965,401.90906,-407.53918,290.76334,118.9574,-1384.0348,-396.7536,288.11316,123.231865,-1379.6812,-0.7445196,2.7806811,17.493147,-9.184685,-0.015390601,0.7944308,3.5686011,-3.6987832,-0.5133551,0.28685674,0.12978512,-2.1534543,0.5816411,0.11968169,-109.82425309185635,-166.95232462674565,-193.27069848138905,68000,370000,0,172.03359235730022,8.226120227947831,5.961336117237806,186.22104870248586,6640.200627582148,33
0.5544437,0.6814301,92.95382,9.2953825,51.567318,11.54623,222.2383,-230.88773,289.36047,127.42068,-1313.2079,-222.77115,287.55603,130.1476,-1312.0685,-1.4510491,2.6147501,15.138592,-9.703373,-0.0037655635,0.68523216,3.0789747,-3.2053132,-0.48030424,0.28362468,0.1242685,-2.082018,0.59516984,0.09865296,-125.50973033213113,-193.57425204996767,-183.80900330450137,70000,375000,0,180.28223910089582,8.906161260791123,6.137541459873319,195.32594182156026,6834.977026783861,34
0.58716875,0.45642924,96.19585,9.619585,43.250595,12.429557,238.43797,-246.56325,298.53043,129.50319,-1350.8141,-236.87024,294.84293,132.79082,-1349.8269,-1.5434908,2.598869,9.2193775,-10.272634,-0.0032762103,0.6881416,2.6268537,-3.298513,-0.46933523,0.27784228,0.17304686,-2.106684,0.55784905,0.11171,-110.01413547301054,-160.08620663244216,-183.34776439114475,72000,380000,0,169.8049921868369,8.357626345008612,6.881100386381149,185.04371891822666,7019.685654498637,35
